Local time,Ask,Bid,AskVolume,BidVolume
08.10.2022 00:00:51.836 GMT+0800,142.02700000000002,142.013,1.2,1.32
08.10.2022 00:00:51.988 GMT+0800,142.026,142.012,1.8,2.06
08.10.2022 00:00:52.089 GMT+0800,142.024,142.01,1.2,2.78
08.10.2022 00:00:52.140 GMT+0800,142.024,142.011,1.2,1.32
08.10.2022 00:00:52.293 GMT+0800,142.024,142.01,1.2,2.4
08.10.2022 00:00:52.394 GMT+0800,142.025,142.01,1.94,2.84
08.10.2022 00:00:52.495 GMT+0800,142.025,142.01,1.94,1.2
08.10.2022 00:00:52.597 GMT+0800,142.024,142.01,1.8,1.94
08.10.2022 00:00:52.698 GMT+0800,142.023,142.01600000000002,1.8,1.2
08.10.2022 00:00:52.801 GMT+0800,142.028,142.02100000000002,1.2,2.24
08.10.2022 00:00:52.852 GMT+0800,142.033,142.019,1.2,2.4
08.10.2022 00:00:52.903 GMT+0800,142.034,142.019,1.42,2.4
08.10.2022 00:00:52.954 GMT+0800,142.034,142.019,2.48,1.94
08.10.2022 00:00:53.005 GMT+0800,142.034,142.02100000000002,1.51,1.2
08.10.2022 00:00:53.106 GMT+0800,142.032,142.02,1.2,1.2
08.10.2022 00:00:53.208 GMT+0800,142.032,142.01700000000002,1.2,2.84
08.10.2022 00:00:53.309 GMT+0800,142.03,142.01600000000002,2.24,3.74
08.10.2022 00:00:53.411 GMT+0800,142.028,142.01700000000002,1.2,1.2
